# stan_version_major = 2
# stan_version_minor = 16
# stan_version_patch = 0
# model = parameter_estimation_model_model
# method = sample (Default)
#   sample
#     num_samples = 100
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = parameter_estimation_model_2.data.R
# init = 2 (Default)
# random
#   seed = 297267787
# output
#   file = parameter_estimation_model_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma1.1,sigma1.2,theta1,theta2,theta3,theta4,theta.1,theta.2,theta.3,theta.4
# Adaptation terminated
# Step size = 0.706085
# Diagonal elements of inverse mass matrix:
# 0.0473042, 0.0432688, 0.000217551, 0.000311124, 0.000212003, 0.000246071
-5.71792,0.999972,0.706085,2,7,0,6.39834,0.765391,0.560958,1.49719,1.00238,2.9941,0.988336,1.49719,1.00238,2.9941,0.988336
-6.11762,0.972062,0.706085,3,7,0,7.47121,0.404949,0.720575,1.50189,1.00009,3.01573,1.00311,1.50189,1.00009,3.01573,1.00311
-4.66974,0.798866,0.706085,3,7,0,11.9356,0.764913,0.557213,1.50034,0.991884,2.99611,0.999476,1.50034,0.991884,2.99611,0.999476
-5.17482,0.976393,0.706085,3,7,0,6.16861,0.692876,0.589481,1.51194,0.992105,3.00681,0.997327,1.51194,0.992105,3.00681,0.997327
-4.2477,0.994866,0.706085,3,7,0,5.80793,0.692319,0.574298,1.50209,0.998428,2.99891,1.00652,1.50209,0.998428,2.99891,1.00652
-3.96343,0.999754,0.706085,3,7,0,4.84878,0.467118,0.566201,1.49933,1.00364,2.99354,0.998139,1.49933,1.00364,2.99354,0.998139
-4.51443,0.927049,0.706085,3,7,0,5.8452,0.563096,0.706473,1.50837,0.997727,2.99334,0.993312,1.50837,0.997727,2.99334,0.993312
-5.09469,0.898256,0.706085,2,7,0,6.76771,0.588433,0.556244,1.51107,0.999552,3.0135,1.00013,1.51107,0.999552,3.0135,1.00013
-4.60115,0.994784,0.706085,3,7,0,6.34696,0.480068,0.480262,1.50475,0.995788,2.99232,1.00799,1.50475,0.995788,2.99232,1.00799
-4.37827,0.963349,0.706085,3,7,0,5.9429,0.607083,0.474653,1.50606,1.00253,2.99837,0.989107,1.50606,1.00253,2.99837,0.989107
-6.60113,0.718692,0.706085,3,7,0,9.29408,0.456516,0.746966,1.50325,0.988033,2.98474,0.99146,1.50325,0.988033,2.98474,0.99146
-4.4878,0.96418,0.706085,2,3,0,8.30385,0.458532,0.715256,1.50105,0.990364,3.00077,0.996814,1.50105,0.990364,3.00077,0.996814
-3.97383,0.924448,0.706085,2,3,0,6.56792,0.496702,0.540008,1.50238,0.986891,2.99714,1.00263,1.50238,0.986891,2.99714,1.00263
-4.0176,0.971256,0.706085,3,7,0,5.05188,0.537493,0.544091,1.50184,1.00845,2.99912,0.993078,1.50184,1.00845,2.99912,0.993078
-3.96957,0.919862,0.706085,3,7,0,6.35003,0.546171,0.469179,1.49686,0.992121,2.99916,0.996007,1.49686,0.992121,2.99916,0.996007
-5.6579,0.768622,0.706085,3,7,0,7.23421,0.38145,0.505921,1.49589,0.99887,3.00402,0.993805,1.49589,0.99887,3.00402,0.993805
-5.15188,0.758854,0.706085,2,3,0,9.08382,0.406364,0.667989,1.50724,0.995029,2.99571,1.00333,1.50724,0.995029,2.99571,1.00333
-4.83489,0.944404,0.706085,3,7,0,6.97331,0.744965,0.580386,1.49622,1.00248,2.99549,0.996644,1.49622,1.00248,2.99549,0.996644
-6.42716,0.889349,0.706085,2,3,0,8.119,0.376205,0.759278,1.50029,0.99698,3.00306,0.990461,1.50029,0.99698,3.00306,0.990461
-4.63223,1,0.706085,2,7,0,7.20467,0.62025,0.743051,1.49711,1.00302,2.99809,0.997289,1.49711,1.00302,2.99809,0.997289
-5.02415,0.861783,0.706085,3,7,0,8.40226,0.449439,0.400299,1.50105,0.993855,2.99817,1.00219,1.50105,0.993855,2.99817,1.00219
-5.14149,0.996707,0.706085,3,7,0,6.6524,0.627632,0.784639,1.50042,1.00228,3.00706,0.993136,1.50042,1.00228,3.00706,0.993136
-4.55804,0.997715,0.706085,3,7,0,6.19576,0.525816,0.416377,1.50062,0.994817,2.99433,1.00316,1.50062,0.994817,2.99433,1.00316
-4.44479,0.976252,0.706085,3,7,0,5.95848,0.547521,0.779481,1.501,1.00228,3.00325,1.00192,1.501,1.00228,3.00325,1.00192
-5.03369,0.920652,0.706085,3,7,0,6.52727,0.676367,0.56604,1.509,1.00547,2.99511,1.00611,1.509,1.00547,2.99511,1.00611
-5.44436,0.966909,0.706085,3,7,0,6.65968,0.577573,0.500006,1.51669,0.998598,2.99141,0.996038,1.51669,0.998598,2.99141,0.996038
-6.13283,0.814411,0.706085,3,7,0,9.19257,0.478149,0.507841,1.50407,1.00467,3.00982,1.01512,1.50407,1.00467,3.00982,1.01512
-5.50118,0.998039,0.706085,3,7,0,7.57114,0.687219,0.522681,1.48937,0.990201,3.00109,0.996229,1.48937,0.990201,3.00109,0.996229
-4.95672,0.987062,0.706085,2,7,0,6.38932,0.722084,0.632672,1.49276,0.996259,2.99655,1.00116,1.49276,0.996259,2.99655,1.00116
-4.06201,0.988584,0.706085,3,7,0,5.87418,0.515721,0.575819,1.50328,1.00521,3.00108,0.989008,1.50328,1.00521,3.00108,0.989008
-7.18018,0.771182,0.706085,3,7,0,8.39903,0.341064,0.420465,1.50086,0.990986,2.99896,0.999534,1.50086,0.990986,2.99896,0.999534
-6.26196,1,0.706085,3,7,0,8.94385,0.753059,0.67747,1.50234,1.00681,3.01313,0.991448,1.50234,1.00681,3.01313,0.991448
-6.48071,0.984913,0.706085,3,7,0,7.99312,0.388347,0.437654,1.50604,0.989607,2.98976,1.00433,1.50604,0.989607,2.98976,1.00433
-5.50744,0.980075,0.706085,3,7,0,9.07066,0.423367,0.659641,1.49878,0.98589,3.0106,0.998855,1.49878,0.98589,3.0106,0.998855
-3.63968,0.947129,0.706085,3,7,0,7.02365,0.564847,0.507422,1.50464,0.991412,3.00464,0.996401,1.50464,0.991412,3.00464,0.996401
-7.09093,0.678951,0.706085,2,3,0,8.49681,0.440391,0.832108,1.50859,0.994786,3.00892,0.98369,1.50859,0.994786,3.00892,0.98369
-4.05672,0.926351,0.706085,3,7,0,11.1624,0.454156,0.654527,1.49906,0.997199,2.99772,0.995634,1.49906,0.997199,2.99772,0.995634
-4.3683,0.905029,0.706085,3,7,0,5.54118,0.663483,0.501273,1.50638,1.00054,3.00204,1.00503,1.50638,1.00054,3.00204,1.00503
-5.8889,0.874451,0.706085,3,7,0,7.82662,0.668538,0.532151,1.49183,0.990375,2.9969,0.988534,1.49183,0.990375,2.9969,0.988534
-6.14085,0.952975,0.706085,3,7,0,9.04701,0.431267,0.422593,1.49219,1.00382,3.00239,1.00527,1.49219,1.00382,3.00239,1.00527
-4.67115,0.995264,0.706085,3,7,0,7.11703,0.42931,0.479307,1.49776,0.992229,2.99472,0.995989,1.49776,0.992229,2.99472,0.995989
-6.48371,0.71196,0.706085,3,7,0,8.60437,0.81037,0.693985,1.50855,1.00906,3.00578,1.00198,1.50855,1.00906,3.00578,1.00198
-8.20989,0.871417,0.706085,3,7,0,12.7422,0.437636,0.494944,1.49019,0.98356,2.99182,1.01813,1.49019,0.98356,2.99182,1.01813
-7.41555,1,0.706085,3,7,0,10.024,0.572306,0.689282,1.5115,1.00343,2.98913,0.977709,1.5115,1.00343,2.98913,0.977709
-6.5377,1,0.706085,3,7,0,9.57048,0.735156,0.460432,1.50307,1.00543,3.00486,0.982653,1.50307,1.00543,3.00486,0.982653
-5.91877,0.86267,0.706085,3,7,0,10.399,0.485414,0.696598,1.49644,0.987508,3.00406,1.01419,1.49644,0.987508,3.00406,1.01419
-5.20708,0.990333,0.706085,3,7,0,7.94747,0.596024,0.473524,1.50084,1.01332,3.0012,0.993657,1.50084,1.01332,3.0012,0.993657
-4.66208,0.92099,0.706085,3,7,0,7.78294,0.430529,0.631329,1.49753,1.00262,3.00033,1.00833,1.49753,1.00262,3.00033,1.00833
-4.61285,0.962526,0.706085,3,7,0,6.12594,0.681071,0.493169,1.50855,0.996892,2.99915,0.989628,1.50855,0.996892,2.99915,0.989628
-6.1121,0.924547,0.706085,3,7,0,6.79493,0.640172,0.446386,1.48933,0.998947,3.00915,1.00972,1.48933,0.998947,3.00915,1.00972
-5.17391,0.98972,0.706085,3,7,0,7.80378,0.430212,0.571528,1.5121,0.996148,3.00401,0.987011,1.5121,0.996148,3.00401,0.987011
-5.32673,1,0.706085,3,7,0,6.51605,0.712506,0.541321,1.49383,0.999851,2.99819,1.01225,1.49383,0.999851,2.99819,1.01225
-5.08696,0.875187,0.706085,3,7,0,8.35158,0.610132,0.597607,1.49277,0.994825,2.9879,1.00235,1.49277,0.994825,2.9879,1.00235
-5.52388,0.980773,0.706085,3,7,0,6.77997,0.535728,0.66992,1.50763,0.988111,3.01463,0.996307,1.50763,0.988111,3.01463,0.996307
-6.49173,0.966609,0.706085,3,7,0,8.68725,0.647202,0.379991,1.49219,0.994168,3.00416,1.00536,1.49219,0.994168,3.00416,1.00536
-5.44692,1,0.706085,3,7,0,8.02882,0.455462,0.834045,1.5071,0.993092,2.99721,0.998502,1.5071,0.993092,2.99721,0.998502
-9.02801,0.739205,0.706085,3,7,0,11.6199,0.734686,0.552948,1.50648,1.00354,3.02957,0.999427,1.50648,1.00354,3.02957,0.999427
-9.70787,0.970483,0.706085,3,7,0,12.7629,0.760907,0.534415,1.51392,1.00441,3.02313,1.00997,1.51392,1.00441,3.02313,1.00997
-5.92391,1,0.706085,2,3,0,10.4494,0.761968,0.674541,1.50813,1.00439,3.01091,0.998873,1.50813,1.00439,3.01091,0.998873
-6.85368,0.943488,0.706085,3,7,0,9.50416,0.427742,0.660221,1.49154,0.996441,2.98844,1.01252,1.49154,0.996441,2.98844,1.01252
-4.86496,0.808595,0.706085,3,7,0,12.8884,0.697136,0.547483,1.50632,1.00242,3.00842,0.990331,1.50632,1.00242,3.00842,0.990331
-4.41918,0.975603,0.706085,3,7,0,6.02692,0.571989,0.461898,1.50228,0.995105,2.98851,0.995948,1.50228,0.995105,2.98851,0.995948
-4.97358,0.963819,0.706085,3,7,0,5.87532,0.539574,0.714903,1.49844,0.997708,3.01474,1.00262,1.49844,0.997708,3.01474,1.00262
-5.80235,0.952356,0.706085,2,7,0,7.62059,0.476131,0.877847,1.50223,0.997161,3.011,0.996179,1.50223,0.997161,3.011,0.996179
-4.92714,0.879394,0.706085,2,3,0,8.14935,0.474763,0.689203,1.49408,0.998354,3.00336,0.992756,1.49408,0.998354,3.00336,0.992756
-4.81601,0.960051,0.706085,2,7,0,6.73646,0.62583,0.489498,1.50903,0.994285,2.98834,0.99338,1.50903,0.994285,2.98834,0.99338
-6.71963,0.887534,0.706085,3,7,0,7.81053,0.4231,0.428381,1.51578,0.992324,2.99719,0.999436,1.51578,0.992324,2.99719,0.999436
-3.67032,1,0.706085,2,3,0,7.04805,0.537674,0.495102,1.50467,1.00296,3.00514,0.997055,1.50467,1.00296,3.00514,0.997055
-6.97666,0.821398,0.706085,2,7,0,7.34681,0.616382,0.513726,1.51059,1.00151,3.01933,0.984485,1.51059,1.00151,3.01933,0.984485
-5.21755,0.928745,0.706085,2,7,0,9.6076,0.598579,0.708288,1.49325,0.98821,2.99565,0.999232,1.49325,0.98821,2.99565,0.999232
-5.321,0.871257,0.706085,3,7,0,9.61363,0.613705,0.542446,1.50328,1.01287,3.01194,0.996944,1.50328,1.01287,3.01194,0.996944
-5.19518,0.968722,0.706085,3,7,0,7.22875,0.49118,0.498787,1.49289,0.987792,2.991,1.00211,1.49289,0.987792,2.991,1.00211
-4.91539,0.844468,0.706085,3,7,0,8.16908,0.57429,0.684892,1.50639,0.986074,2.99673,0.992669,1.50639,0.986074,2.99673,0.992669
-7.05927,0.829415,0.706085,3,7,0,9.42047,0.491038,0.556244,1.50621,1.01538,2.98285,0.988969,1.50621,1.01538,2.98285,0.988969
-8.46643,0.699702,0.706085,3,7,0,12.6427,0.482185,0.490093,1.48368,0.988994,2.98807,1.00119,1.48368,0.988994,2.98807,1.00119
-6.79197,0.976694,0.706085,3,7,0,11.4868,0.569221,0.539183,1.52039,1.00879,2.99558,0.999431,1.52039,1.00879,2.99558,0.999431
-5.92339,0.760279,0.706085,2,7,0,13.7883,0.683539,0.467623,1.50644,1.00539,3.0151,1.00028,1.50644,1.00539,3.0151,1.00028
-5.25469,0.971816,0.706085,3,7,0,8.10398,0.468265,0.70326,1.5107,0.994349,3.00798,1.0015,1.5107,0.994349,3.00798,1.0015
-4.42942,0.995818,0.706085,2,7,0,6.04107,0.506769,0.733142,1.50287,0.999004,2.99455,1.00524,1.50287,0.999004,2.99455,1.00524
-4.99393,0.924771,0.706085,3,7,0,6.77346,0.452937,0.731602,1.50454,0.995125,2.98999,0.99535,1.50454,0.995125,2.98999,0.99535
-4.61916,0.804951,0.706085,2,3,0,10.2715,0.497374,0.432281,1.49986,0.99772,2.99349,0.992856,1.49986,0.99772,2.99349,0.992856
-7.29786,0.834911,0.706085,3,7,0,7.77297,0.424332,0.451432,1.49308,1.01569,3.0019,0.998654,1.49308,1.01569,3.0019,0.998654
-6.24499,1,0.706085,3,7,0,9.54079,0.556429,0.649346,1.50866,0.98478,3.01599,1.00036,1.50866,0.98478,3.01599,1.00036
-4.63694,0.993936,0.706085,3,7,0,7.29992,0.581639,0.596581,1.49998,0.987804,2.9956,1.00953,1.49998,0.987804,2.9956,1.00953
-3.67135,0.928955,0.706085,3,7,0,6.80213,0.505171,0.520964,1.50133,1.00623,3.00086,0.997078,1.50133,1.00623,3.00086,0.997078
-8.02837,0.634643,0.706085,2,3,0,9.55234,0.56341,0.52125,1.5195,0.990351,3.01444,0.983154,1.5195,0.990351,3.01444,0.983154
-7.69986,0.968823,0.706085,3,7,0,11.8741,0.751719,0.456591,1.51307,1.01476,3.00711,0.995934,1.51307,1.01476,3.00711,0.995934
-6.1963,0.988355,0.706085,3,7,0,8.13795,0.499881,0.691176,1.49244,0.98066,2.99709,1.00158,1.49244,0.98066,2.99709,1.00158
-6.41541,0.96512,0.706085,2,7,0,8.7738,0.496364,0.614785,1.49255,0.980313,3.00596,1.01152,1.49255,0.980313,3.00596,1.01152
-6.40841,1,0.706085,3,7,0,7.8384,0.559162,0.511619,1.50843,1.01686,2.99569,0.985871,1.50843,1.01686,2.99569,0.985871
-5.22919,1,0.706085,2,3,0,6.96953,0.546134,0.500824,1.51225,1.01007,2.9997,0.989442,1.51225,1.01007,2.9997,0.989442
-6.0395,0.968562,0.706085,3,7,0,7.15897,0.385963,0.512186,1.50369,1.00752,2.99496,0.987887,1.50369,1.00752,2.99496,0.987887
-6.69456,0.97752,0.706085,3,7,0,8.21351,0.782218,0.567864,1.48661,0.991074,2.99406,1.00476,1.48661,0.991074,2.99406,1.00476
-5.62067,1,0.706085,3,7,0,8.05806,0.847346,0.612569,1.50227,0.990956,2.99489,0.996827,1.50227,0.990956,2.99489,0.996827
-4.71911,0.99887,0.706085,3,7,0,6.55288,0.599423,0.571366,1.50838,1.00137,3.01214,1.00234,1.50838,1.00137,3.01214,1.00234
-8.6265,0.855968,0.706085,3,7,0,9.39901,0.422311,0.84343,1.4945,0.986034,2.98392,1.00572,1.4945,0.986034,2.98392,1.00572
-5.44919,0.991793,0.706085,2,7,0,9.82852,0.622855,0.671787,1.50692,0.990979,2.98543,0.996436,1.50692,0.990979,2.98543,0.996436
-4.71822,0.788689,0.706085,2,3,0,10.294,0.583908,0.575148,1.49876,0.98534,3.00397,0.990492,1.49876,0.98534,3.00397,0.990492
-6.57047,0.85667,0.706085,2,7,0,8.782,0.413733,0.683749,1.50273,1.00697,3.00194,1.01481,1.50273,1.00697,3.00194,1.01481
-6.06937,0.993294,0.706085,3,7,0,8.90413,0.505982,0.807497,1.4975,1.00074,3.00916,1.01305,1.4975,1.00074,3.00916,1.01305
# 
#  Elapsed Time: 3.34781 seconds (Warm-up)
#                0.383978 seconds (Sampling)
#                3.73178 seconds (Total)
# 
