# stan_version_major = 2
# stan_version_minor = 16
# stan_version_patch = 0
# model = parameter_estimation_model_model
# method = sample (Default)
#   sample
#     num_samples = 100
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = parameter_estimation_model_4.data.R
# init = 2 (Default)
# random
#   seed = 3242791311
# output
#   file = parameter_estimation_model_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma1.1,sigma1.2,theta1,theta2,theta3,theta4,theta.1,theta.2,theta.3,theta.4
# Adaptation terminated
# Step size = 0.284569
# Diagonal elements of inverse mass matrix:
# 0.0837408, 0.079592, 0.000118441, 0.000437167, 0.000158476, 0.000119823
36.217,0.999993,0.284569,4,15,0,-30.151,0.0749114,0.0571775,1.49632,1.0164,3.01916,1.00601,1.49632,1.0164,3.01916,1.00601
40.6005,0.993432,0.284569,3,7,0,-34.4022,0.0990399,0.0732482,1.49471,1.00264,3.0127,1.00443,1.49471,1.00264,3.0127,1.00443
41.8718,0.991833,0.284569,4,15,0,-39.1514,0.0585584,0.0766804,1.50124,0.998186,2.99537,0.998335,1.50124,0.998186,2.99537,0.998335
40.7281,0.811081,0.284569,4,15,0,-38.6626,0.109662,0.0775239,1.50213,1.0036,3.00387,1.00024,1.50213,1.0036,3.00387,1.00024
39.8347,0.925854,0.284569,3,7,0,-37.5786,0.12442,0.0964347,1.49984,1.00618,2.99713,0.998459,1.49984,1.00618,2.99713,0.998459
35.9626,0.96795,0.284569,3,7,0,-33.9063,0.0688524,0.0576966,1.50203,0.98321,2.99851,0.996796,1.50203,0.98321,2.99851,0.996796
35.8615,0.950195,0.284569,3,7,0,-32.6001,0.0573958,0.0683871,1.50271,0.982139,2.99838,0.996038,1.50271,0.982139,2.99838,0.996038
37.4982,0.99299,0.284569,4,15,0,-34.6534,0.11448,0.0719837,1.50057,1.01732,3.01378,0.998575,1.50057,1.01732,3.01378,0.998575
40.0599,0.985135,0.284569,3,7,0,-35.2084,0.0784664,0.113897,1.50293,1.00973,2.99801,1.00052,1.50293,1.00973,2.99801,1.00052
41.5849,0.988596,0.284569,3,7,0,-39.6342,0.0770765,0.0877679,1.49954,1.00883,2.99894,1.00035,1.49954,1.00883,2.99894,1.00035
41.1925,0.989352,0.284569,4,15,0,-39.7784,0.0829694,0.0653644,1.50226,1.0089,3.00012,0.994491,1.50226,1.0089,3.00012,0.994491
